url,job_title,company,salary_min,salary_max,remote,workplace_type,location,seniority_level,commitment,apply_source
https://careers.siriusxm.com/careers/jobs/16972/job?utm_source=hiringcafe_integration&iis=Job%20Board&iisn=HiringCafe,"Senior Director, Marketing Campaign Development",Sirius XM,172218.0,203125.0,no,Onsite,Los Angeles or New York,Senior Level,Full Time,icims
https://ats.rippling.com/nstxl/jobs/0868567f-bfa2-48ff-b644-c36b8d6f61e8,"Director, Strategic Marketing",Joining NSTXL,,,yes,Remote,United States,Senior Level,Full Time,rippling
https://jobs.lever.co/USMobile/8c478ff2-1df5-4c25-bc1c-7a09817d8d05/apply,Director of Lifecycle Marketing,USMobile,160000.0,180000.0,no,Hybrid,"New York City, New York, United States",Senior Level,Full Time,lever
https://jobs.smartrecruiters.com/Equinox/744000081058794-sr-director-member-marketing,"Sr. Director, Member Marketing",Equinox,200000.0,250000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,smartrecruiters
https://sumitomopharma.wd5.myworkdayjobs.com/invite_to_apply/job/US-Remote/Associate-Director--Marketing---Oncology_R00777-2,"Associate Director, Marketing - Oncology","Sumitomo Pharma Co., Ltd.",148445.0,185556.0,yes,Remote,Marlborough or United States,Senior Level,Full Time,workday
https://apply.workable.com/j/E782D8E223,"Sr. Director, Integrated Marketing, Solar",Hello Sunshine,150000.0,160000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,workable
https://apply.workable.com/j/042124F79B,"Director, Social Media",Hello Sunshine,110000.0,135000.0,no,Onsite,"New York, New York, United States",Senior Level,Full Time,workable
https://job-boards.greenhouse.io/drsquatch/jobs/5642164004,Associate Director of Brand & Integrated Marketing,Dr. Squatch,150000.0,170000.0,no,Hybrid,"New York, New York, United States",Mid Level,Full Time,grnhse
https://ats.rippling.com/scentbird/jobs/9e17e86c-f34d-493d-8696-9e8b3d4445ce,"Associate Director, Lifecycle Marketing",Scentbird Careers Page,,,yes,Remote,United States,Senior Level,Full Time,rippling
https://jobs.ashbyhq.com/stride%20build/b856a022-9bcd-4ec0-9895-7ccaca3c974d,Director of Marketing,Stride,,,yes,Remote,United States,Senior Level,Full Time,ashby
https://careers.essilorluxottica.com/job/New-York-Trade-Event-Marketing-Director-NY-10018/1246243001/,"Trade Event Marketing Director (New York, NY, US, 10018)",,118412.7,182194.95,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://careers.essilorluxottica.com/job/New-York-Store-Director-NY-10012/1245254301/,"Store Director (New York, NY, US, 10012)",EssilorLuxottica,60525.6,102672.8,no,Onsite,"New York, New York, United States",Senior Level,Full Time,successfactors
https://landmarkventures.bamboohr.com/careers/53,Director of Marketing,Landmark Ventures,,,yes,Remote,United States,Senior Level,Full Time,bamboohr
https://job-boards.greenhouse.io/opentable/jobs/8136631002,"Director, Experiential Marketing",OpenTable,180000.0,200000.0,no,Hybrid,New York or San Francisco,Senior Level,Full Time,grnhse
https://d1a.pinpointhq.com/en/postings/a46eba17-af4b-40a4-a4da-c9dc0ae3881a,"Associate Director, Influencer & Creator Marketing",Day One Agency,90000.0,105000.0,no,Hybrid,"New York, New York, United States",Mid Level,Full Time,pinpoint
https://job-boards.greenhouse.io/backblaze/jobs/4905784008,"Director, GTM and Marketing Operations",Backblaze,175000.0,227000.0,yes,Remote,United States,Senior Level,Full Time,grnhse
https://sitero.bamboohr.com/careers/373,"Director, Sales Enablement and Marketing",Sitero LLC,,,yes,Remote,United States,Senior Level,Full Time,bamboohr
https://jobs.lever.co/pendulum/87424948-985b-4065-a654-b2b8cc8f2d3b/apply,"Director, Organic, Influencer, and PR Marketing",Pendulum,150000.0,180000.0,yes,Remote,United States,Mid Level,Full Time,lever
https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=467843&clientkey=1A07B75E28660628DEFC7215B06EF84C,B.HOM Director of Sales and Marketing,BH MANAGEMENT SERVICES LLC,100000.0,900000.0,yes,Remote,United States,No Prior Experience Required,Full Time,paycom
https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=467843&clientkey=C8CA71BADF7ED8833D5E93D3ED9CB4C0,B.HOM Director of Sales and Marketing,BH MANAGEMENT SERVICES LLC,90000.0,100000.0,yes,Remote,United States,No Prior Experience Required,Full Time,paycom
https://myjobs.adp.com/dataaxle/cx/job-details?reqId=5001148711806,"Sr Director, Product Marketing",Data Axle,,,yes,Remote,United States,Senior Level,Full Time,adprecruiting
https://apply.workable.com/j/0F2B50ADBE,"Director, Content Marketing (Remote - US or Canada)",Axonify,,,yes,Remote,United States or Canada,Senior Level,Full Time,workable
https://apply.workable.com/j/C92BD071A1,"Director, Content Strategy (Remote - US)",AffiniPay,,,yes,Remote,United States,Senior Level,Full Time,workable
https://apply.workable.com/j/EE97A8C351,"Customer Success Associate Director, Advertising",CommerceIQ (posted by Jobgether),109000.0,150000.0,yes,Remote,United States,Senior Level,Full Time,workable
https://apply.workable.com/j/5EF7B6AF7C,Creative Director (Remote - US),Sanity.io,,,yes,Remote,United States,Senior Level,Full Time,workable
https://recruiting.paylocity.com/Recruiting/Jobs/Details/3541891,"Global Overview - Director, Customer Marketing",Global Overview,170000.0,200000.0,yes,Remote,United States,Senior Level,Full Time,paylocity
https://job-boards.greenhouse.io/alma/jobs/8167737002,"Senior Director, Product Marketing",Alma,200000.0,250000.0,yes,Remote,United States,Senior Level,Full Time,grnhse
